,date,count,type
0,2014-01-31,1898,Felony Arrest
1,2014-02-28,1859,Felony Arrest
2,2014-03-31,2102,Felony Arrest
3,2014-04-30,2202,Felony Arrest
4,2014-05-31,2325,Felony Arrest
5,2014-06-30,2231,Felony Arrest
6,2014-07-31,2432,Felony Arrest
7,2014-08-31,2365,Felony Arrest
8,2014-09-30,2126,Felony Arrest
9,2014-10-31,2128,Felony Arrest
10,2014-11-30,1949,Felony Arrest
11,2014-12-31,1719,Felony Arrest
12,2015-01-31,2037,Felony Arrest
13,2015-02-28,1666,Felony Arrest
14,2015-03-31,2063,Felony Arrest
15,2015-04-30,1758,Felony Arrest
16,2015-05-31,1820,Felony Arrest
17,2015-06-30,1793,Felony Arrest
18,2015-07-31,2042,Felony Arrest
19,2015-08-31,2093,Felony Arrest
20,2015-09-30,2083,Felony Arrest
21,2015-10-31,2098,Felony Arrest
22,2015-11-30,1765,Felony Arrest
23,2015-12-31,1371,Felony Arrest
24,2016-01-31,1386,Felony Arrest
25,2016-02-29,1480,Felony Arrest
26,2016-03-31,1609,Felony Arrest
27,2016-04-30,1599,Felony Arrest
28,2016-05-31,1686,Felony Arrest
29,2016-06-30,1524,Felony Arrest
30,2016-07-31,1453,Felony Arrest
31,2016-08-31,1435,Felony Arrest
32,2016-09-30,1464,Felony Arrest
33,2016-10-31,1273,Felony Arrest
34,2016-11-30,1431,Felony Arrest
35,2016-12-31,1198,Felony Arrest
36,2017-01-31,1524,Felony Arrest
37,2017-02-28,1454,Felony Arrest
38,2017-03-31,1439,Felony Arrest
39,2017-04-30,1516,Felony Arrest
40,2017-05-31,1590,Felony Arrest
41,2017-06-30,1354,Felony Arrest
42,2017-07-31,1547,Felony Arrest
43,2017-08-31,1587,Felony Arrest
44,2017-09-30,1480,Felony Arrest
45,2017-10-31,1348,Felony Arrest
46,2017-11-30,1313,Felony Arrest
47,2017-12-31,1176,Felony Arrest
48,2018-01-31,1624,Felony Arrest
49,2018-02-28,1416,Felony Arrest
50,2018-03-31,1652,Felony Arrest
51,2018-04-30,1554,Felony Arrest
52,2018-05-31,1737,Felony Arrest
53,2018-06-30,1539,Felony Arrest
54,2018-07-31,1839,Felony Arrest
55,2018-08-31,1857,Felony Arrest
56,2018-09-30,1735,Felony Arrest
57,2018-10-31,1562,Felony Arrest
58,2018-11-30,1617,Felony Arrest
59,2018-12-31,1578,Felony Arrest
60,2019-01-31,1762,Felony Arrest
61,2019-02-28,1676,Felony Arrest
62,2019-03-31,1876,Felony Arrest
63,2019-04-30,1815,Felony Arrest
64,2019-05-31,1836,Felony Arrest
65,2019-06-30,1809,Felony Arrest
66,2019-07-31,2052,Felony Arrest
67,2019-08-31,1986,Felony Arrest
68,2019-09-30,1793,Felony Arrest
69,2019-10-31,1703,Felony Arrest
70,2019-11-30,1616,Felony Arrest
71,2019-12-31,1633,Felony Arrest
72,2020-01-31,1851,Felony Arrest
73,2020-02-29,1785,Felony Arrest
74,2020-03-31,1191,Felony Arrest
75,2020-04-30,550,Felony Arrest
76,2020-05-31,1312,Felony Arrest
77,2020-06-30,1178,Felony Arrest
78,2020-07-31,1283,Felony Arrest
79,2020-08-31,1443,Felony Arrest
80,2020-09-30,1300,Felony Arrest
81,2020-10-31,1040,Felony Arrest
